symbol,timeframe,side,zone_low,zone_high,signal_type,timestamp,source_file
INTCUSDT,1m,resistance,124.95,125.09,breakout,2026-07-06T16:35:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223015.png
KORUUSDT,1m,support,621.3,622.12,breakout,2026-07-06T15:30:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223021.png
SYNUSDT,1m,support,0.36839,0.3691,breakout,2026-07-06T13:00:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223026.png
SLXUSDT,1m,support,0.20881,0.20916,breakout,2026-07-06T12:04:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223031.png
HOTUSDT,1m,resistance,0.0003685,0.0003698,breakout,2026-07-06T07:41:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223036.png
EPICUSDT,1m,support,0.4095,0.4103,breakout,2026-07-06T06:18:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223041.png
ARXUSDT,1m,support,0.2321,0.233,breakout,2026-07-06T05:30:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223045.png
VANRYUSDT,5m,resistance,0.005827,0.005838,breakout,2026-07-06T04:58:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223050.png
SNDKUSDT,5m,support,1820.01,1820.34,breakout,2026-07-06T04:48:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223055.png
EWYUSDT,5m,support,188.82,189.08,breakout,2026-07-06T04:48:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223100.png
EWYUSDT,3m,support,188.82,189.08,breakout,2026-07-06T04:46:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223103.png
OUSDT,1m,support,0.5466,0.5475,breakout,2026-07-06T03:34:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223107.png
KORUUSDT,5m,support,615.0,616.95,breakout,2026-07-06T02:50:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223111.png
BTWUSDT,1m,resistance,0.07642,0.07694,breakout,2026-07-06T02:28:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\06.07.2026\Снимок экрана 2026-07-09 223116.png
MUUSDT,5m,resistance,947.75,950.49,breakout,2026-07-07T20:42:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222235.png
OPGUSDT,5m,support,0.1215,0.1221,breakout,2026-07-07T20:33:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222239.png
YFIUSDT,1m,resistance,2402.0,2414.0,breakout,2026-07-07T20:09:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222245.png
MSTRUSDT,1m,resistance,102.32,102.62,breakout,2026-07-07T19:28:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222250.png
REUSDT,3m,support,0.6958,0.697,breakout,2026-07-07T18:43:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222256.png
SPCXUSDT,1h,support,146.87,148.17,breakout,2026-07-07T17:15:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222300.png
KORUUSDT,1m,resistance,565.77,568.47,breakout,2026-07-07T15:31:00+03:00,C:\Users\goooo\OneDrive\Desktop\Сигналы конкурениа\07.07.2026\Снимок экрана 2026-07-09 222305.png
