timestamp,symbol,digash_timeframe,side,digash_zone_low,digash_zone_high,primary_reason,raw_gap_reason,current_quote_volume_24h,passes_MIN_QUOTE_VOLUME_24H_60M_at_check,in_saved_57_symbol_baseline_universe,flags,reason_note
2026-07-06T07:41:00+03:00,HOTUSDT,1m,resistance,0.0003685,0.0003698,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,1939192.859706,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-06T05:30:00+03:00,ARXUSDT,1m,support,0.2321,0.233,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,44102316.8034,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-06T02:50:00+03:00,KORUUSDT,5m,support,615.0,616.95,zone_matching/clustering_gap,same_side_time_match_but_zone_not_close,1204885248.6934,True,True,same_side_candidate_in_time_window_but_zone_gap_gt_0.5pct,"??? detector ????? ?? ?? ????/??????? ? ?????????? ????????? ????, ?? ????????? ???? ?? ??????????? ? gap > 0.5%."
2026-07-06T02:28:00+03:00,BTWUSDT,1m,resistance,0.07642,0.07694,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,7925261.900774,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-07T04:33:00+03:00,1000BONKUSDT,1m,resistance,0.004487,0.004508,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,14168462.38944,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-08T22:51:00+03:00,SNDRUSDT,5m,resistance,1707.62,1714.99,universe/not_on_exchangeinfo,symbol_no_detector_candidates_in_window_dataset,0.0,False,False,symbol_not_on_binance_futures_exchangeinfo;not_in_saved_57_symbol_baseline_universe,?????? ?? ?????? ? ??????? Binance Futures exchangeInfo; production scanner ?? ?????? ??? ?????????? ??? ??????? USDT perpetual.
2026-07-08T19:31:00+03:00,BLURUSDT,5m,resistance,0.01927,0.01935,time_alignment/no_candidate_in_match_window,same_side_candidates_exist_but_outside_time_window,18370660.81026,False,True,below_MIN_QUOTE_VOLUME_24H_60M_at_check;same_side_candidates_exist_only_outside_match_window,"Same-side ????????? ?? ???? ????, ?? ????????? ??? ??????????? ????; ? ?????? ?????? detector ?? ??? ??????? ????????."
2026-07-08T17:58:00+03:00,SPCXUSDT,1m,support,148.39,148.5,zone_matching/clustering_gap,same_side_time_match_but_zone_not_close,868321058.9197,True,True,same_side_candidate_in_time_window_but_zone_gap_gt_0.5pct,"??? detector ????? ?? ?? ????/??????? ? ?????????? ????????? ????, ?? ????????? ???? ?? ??????????? ? gap > 0.5%."
2026-07-08T11:49:00+03:00,CLOUSDT,1m,resistance,0.2185,0.21977,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,16329148.11215,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-08T09:55:00+03:00,OUSDT,15m,support,0.5266,0.5315,time_alignment/no_candidate_in_match_window,same_side_candidates_exist_but_outside_time_window,55706804.3584,False,True,below_MIN_QUOTE_VOLUME_24H_60M_at_check;same_side_candidates_exist_only_outside_match_window,"Same-side ????????? ?? ???? ????, ?? ????????? ??? ??????????? ????; ? ?????? ?????? detector ?? ??? ??????? ????????."
2026-07-08T02:52:00+03:00,OPGUSDT,3m,resistance,0.1292,0.1294,zone_matching/clustering_gap,same_side_time_match_but_zone_not_close,9780515.2804,False,True,timeframe_not_scanned;below_MIN_QUOTE_VOLUME_24H_60M_at_check;same_side_candidate_in_time_window_but_zone_gap_gt_0.5pct,"??? detector ????? ?? ?? ????/??????? ? ?????????? ????????? ????, ?? ????????? ???? ?? ??????????? ? gap > 0.5%."
2026-07-09T06:22:00+03:00,SYNUSDT,1m,support,0.34119,0.342,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,33653839.92721,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
2026-07-09T06:04:00+03:00,LDOUSDT,1m,support,0.3188,0.3194,universe/liquidity_below_60m,symbol_no_detector_candidates_in_window_dataset,41470052.2882,False,False,below_MIN_QUOTE_VOLUME_24H_60M_at_check;not_in_saved_57_symbol_baseline_universe,???? ????????????? ? ??????????? baseline scan universe ? ??????? 24h quoteVolume ???? MIN_QUOTE_VOLUME_24H=60M.
