timestamp,symbol,timeframe,side,zone_low,zone_high,primary_reason,in_fresh_scan_universe,quoteVolume,passes_min_quote_volume_24h,match_type,match_confidence,match_score,match_timeframe,match_time_diff_min,match_zone_gap_pct,match_publication_status
2026-07-07T20:42:00+03:00,MUUSDT,5m,resistance,947.75,950.49,classification_mismatch/zone_found_not_confirmed_breakout,True,1157194531.5166,True,test,confirmed,67.17625473914629,5m,12.0,0.0,batch_limit
2026-07-07T20:33:00+03:00,OPGUSDT,5m,support,0.1215,0.1221,universe/liquidity_below_60m,False,10257675.2558,False,,,,,,,
2026-07-07T20:09:00+03:00,YFIUSDT,1m,resistance,2402.0,2414.0,universe/liquidity_below_60m,False,20373924.7,False,,,,,,,
2026-07-07T18:43:00+03:00,REUSDT,3m,support,0.6958,0.697,universe/liquidity_below_60m,False,27908391.5143,False,,,,,,,
2026-07-07T17:15:00+03:00,SPCXUSDT,1h,support,146.87,148.17,classification_mismatch/zone_found_not_confirmed_breakout,True,867816051.1291,True,test,confirmed,71.13333333333333,1h,105.0,0.0,batch_limit
2026-07-07T15:31:00+03:00,KORUUSDT,1m,resistance,565.77,568.47,classification_mismatch/zone_found_not_confirmed_breakout,True,1203514297.088,True,test,low_confidence,59.68666666666666,5m,1.0,0.0,allowed_filter
2026-07-07T13:17:00+03:00,TLMUSDT,1m,support,0.00332,0.003328,universe/liquidity_below_60m,False,35179051.465715,False,,,,,,,
2026-07-07T13:09:00+03:00,ALLOUSDT,5m,resistance,0.42848,0.4293,universe/liquidity_below_60m,False,53731837.25749,False,,,,,,,
2026-07-07T09:51:00+03:00,LABUSDT,1m,support,13.5,13.555,classification_mismatch/zone_found_not_confirmed_breakout,True,787833043.1127,True,test,confirmed,78.7,5m,14.0,0.0,published
2026-07-07T07:26:00+03:00,ALLOUSDT,1m,resistance,0.42874,0.4293,universe/liquidity_below_60m,False,53731837.25749,False,,,,,,,
2026-07-07T05:16:00+03:00,LITUSDT,1m,resistance,2.6254,2.6401,classification_mismatch/zone_found_not_confirmed_breakout,True,69758004.55159,True,test,low_confidence,51.370309840598786,1m,1.0,0.0,allowed_filter
2026-07-07T04:33:00+03:00,1000BONKUSDT,1m,resistance,0.004487,0.004508,universe/liquidity_below_60m,False,14053380.101943,False,,,,,,,
2026-07-08T22:51:00+03:00,SNDRUSDT,5m,resistance,1707.62,1714.99,universe/not_on_exchangeinfo,False,0.0,False,,,,,,,
2026-07-08T19:31:00+03:00,BLURUSDT,5m,resistance,0.01927,0.01935,universe/liquidity_below_60m,False,17624981.36158,False,,,,,,,
2026-07-08T17:58:00+03:00,SPCXUSDT,1m,support,148.39,148.5,zone_matching/clustering_gap,True,867816051.1291,True,breakout,confirmed,78.9,1h,2.0,2.3222,published
2026-07-08T15:56:00+03:00,UNIUSDT,1m,resistance,3.333,3.342,classification_mismatch/zone_found_not_confirmed_breakout,True,92729754.378,True,test,low_confidence,56.34538460683681,5m,1.0,0.0,allowed_filter
2026-07-08T12:36:00+03:00,TACUSDT,5m,support,0.003201,0.003342,classification_mismatch/zone_found_not_confirmed_breakout,True,95108670.574561,True,test,low_confidence,61.24999999999999,1m,2.0,0.0,published
2026-07-08T11:49:00+03:00,CLOUSDT,1m,resistance,0.2185,0.21977,universe/liquidity_below_60m,False,14825422.45952,False,,,,,,,
2026-07-08T11:31:00+03:00,UNIUSDT,5m,support,3.125,3.14,classification_mismatch/zone_found_not_confirmed_breakout,True,92729754.378,True,test,confirmed,67.45557728170269,5m,1.0,0.0,published
2026-07-08T09:55:00+03:00,OUSDT,15m,support,0.5266,0.5315,universe/liquidity_below_60m,False,54150551.2901,False,,,,,,,
2026-07-08T06:13:00+03:00,LITUSDT,3m,resistance,2.4962,2.502,classification_mismatch/zone_found_not_confirmed_breakout,True,69758004.55159,True,test,confirmed,68.99482380821256,1m,0.0,0.0,published
2026-07-08T02:52:00+03:00,OPGUSDT,3m,resistance,0.1292,0.1294,universe/liquidity_below_60m,False,10257675.2558,False,,,,,,,
2026-07-08T01:47:00+03:00,VANRYUSDT,3m,support,0.006276,0.0063,classification_mismatch/zone_found_not_confirmed_breakout,True,160747134.955726,True,test,low_confidence,58.9925,1m,1.0,0.0,allowed_filter
2026-07-09T06:22:00+03:00,SYNUSDT,1m,support,0.34119,0.342,universe/liquidity_below_60m,False,32439596.77651,False,,,,,,,
2026-07-09T06:04:00+03:00,LDOUSDT,1m,support,0.3188,0.3194,universe/liquidity_below_60m,False,39916024.9227,False,,,,,,,
2026-07-09T04:56:00+03:00,SOXLUSDT,1m,support,173.61,173.68,classification_mismatch/zone_found_not_confirmed_breakout,True,1324521625.2769,True,test,confirmed,76.375,1m,1.0,0.0,published
